OzuMmNXI,16.03.2022 14:00,Scheduled,Agamenone F. ,Tseng C. H. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/8-finals,Clay,Outdoor,2.10,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-03-16 04:03:10.173197
0vqWc7eQ,16.03.2022 14:00,Scheduled,Taberner C. ,Gimeno Valero C. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/8-finals,Clay,Outdoor,1.25,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-03-16 04:03:13.696527
hGdIOELP,17.03.2022 15:30,Scheduled,Collarini A. ,Varillas J. P. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:20.191739
CMWTzIAk,17.03.2022 15:30,Scheduled,Denolly C. ,Barrios T. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,3.25,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:23.732722
x4Mp0FRm,17.03.2022 15:30,Scheduled,Jarry N. ,Pucinelli de Almeida M. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,1.44,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:27.229140
GYqEndcl,17.03.2022 15:30,Scheduled,Mena F. ,Olivo R. ,Men,CHALLENGER,Concepcion 2,Main,1/8-finals,Clay,Outdoor,1.83,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:30.736053
08MUQCwC,17.03.2022 03:30,Scheduled,Nakashima B. ,Ruusuvuori E. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,2.00,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:34.273795
4jG7DrEH,17.03.2022 05:00,Scheduled,Paire B. ,Nava E. ,Men,CHALLENGER,Phoenix,Main,1/16-finals,Hard,Outdoor,1.53,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:37.831257
rupE7GoR,17.03.2022 19:00,Scheduled,Rinderknech A. ,Broady L. ,Men,CHALLENGER,Phoenix,Main,1/8-finals,Hard,Outdoor,1.53,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:41.358317
YklJpL9A,17.03.2022 11:00,Scheduled,Giannessi A. ,Pellegrino A. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/8-finals,Clay,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:44.907452
2eDg2jNh,17.03.2022 11:00,Scheduled,Guinard M. ,Gautier A. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/8-finals,Clay,Outdoor,1.40,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:09:48.404896
2k0QRKg2,17.03.2022 11:00,Scheduled,Piros Z. ,Vavassori A. ,Men,CHALLENGER,Roseto Degli Abruzzi 2,Main,1/8-finals,Clay,Outdoor,1.66,2.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-03-16 04:09:51.969252
SlJBVyi0,16.03.2022 21:00,Scheduled,Isner J. ,Dimitrov G. ,Men,ATP,Indian Wells,Main,1/8-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:24:59.735211
